id,Historical Period,Time/Century,Edition name,URL,Scholarly,Digital,Edition,Language,Writing support,Begin date,End date,Manager or Editor,Institution(s),Audience,Philological statement,Account of textual variance,Value of witnesses,XML-TEI Transcription,XML(-TEI) available to download,Images,Zoom images,"Image manipulation (brightness, rotation, etc.)",Text-Image Linking,Source Text Translation,Website language,Glossary,Indices,String matching,Advanced search,Creative Commons License,Open source/Open access,Linked Open Data,API,Crowdsourcing,Feedback,Technological statement,Links to ext. resources,OCR or keyed?,Mobile friendly/application,Print-friendly view,Print facsimile (complementary output),Repository of source material(s),Place of origin of source material(s),Sponsor/Funding body,Budget (rough),Infrastructure,Current availability,RIDE review,Sahle Catalog,Citation,Handle-PID
270,Modern,1930-1937,József Attila összes tanulmánya és cikke. Szövegek 1930-1937,http://textus.elte.hu/ja/,yes,yes,yes,HUN,Manuscript; Print,1999,2012,Horváth Iván,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,partly,no,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,no,no,no,Országos Széchényi Könyvtár; Petőfi Irodalmi Múzeum,Hungary,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D18D-A
271,Middle Ages,13th-15th,Estoria de Espanna Digital,http://estoria.bham.ac.uk/,yes,yes,yes,SPA,Manuscript,2013,2016,Aengus Ward,University of Birmingham,Scholars; students; general public,yes,yes,yes,yes,no,partly,yes,no,no,no,ENG; SPA,no,yes,no,no,yes,Open Access and Open Source (some data),no,no,yes,no,partly,yes,Keyed,yes,no,no,University of Birmingham,El Escorial; BNE Madrid; Salamanca; Santander,Arts and Humanities Research Council,"£550,000.00",bespoke technologies,yes,no,no,no,21.11115/0000-000B-D18E-9
272,Early Modern,17th,Gergei Albert: Árgirus históriája (version 1),http://www.tankonyvtar.hu/en/tartalom/tkt/argirus-historiaja/adatok.html,yes,yes,yes,HUN; LAT,Manuscript; Print,2005,not provided,Parádi Andrea,Eötvös Loránd Tudományegyetem,Scholars,yes,yes,yes,yes,no,yes,no,no,no,no,HUN,yes,yes,yes,no,no,Open Access and Open Source (some data),no,no,no,no,partly,no,Keyed,yes,yes,no,Országos Széchényi Könyvtár,Hungary,Hungarian Government,not provided,TEI XML; DocBook XML; EPUB; HTML; DOCX; PDF,no,no,no,not provided,21.11115/0000-000B-D18F-8
273,Early Modern,1603-1606,Wathay Ferenc összes műve,http://magyar-irodalom.elte.hu/gepesk/wathay/,yes,yes,yes,HUN,Manuscript,1999,not provided,Tóth Csilla; Tóth Tünde,Eötvös Loránd Tudományegyetem,Scholars,yes,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,no,partly,no,Keyed,no,no,no,Magyar Tudományos Akadémia Könyvtára,Hungary,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D190-5
274,Early Modern,1651,"Adriai tengernek syrénája, gróf Zrínyi Miklós",http://magyar-irodalom.elte.hu/gepesk/zrinyi/,yes,yes,yes,HUN,Manuscript; Print,1998,not provided,Orlovszky Géza,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,partly,no,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,no,no,no,Keyed,no,no,yes,Országos Széchényi Könyvtár; Nacionalna i sveučilišna knjižnica u Zagrebu,Hungary; Croatia,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D191-4
275,Early Modern,16th-17th,Rimay János verseinek fragmentumi,http://magyar-irodalom.elte.hu/gepesk/rimay/,yes,yes,yes,HUN,Manuscript; Print,1998,2004,Tóth Tünde,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,partly,yes,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,yes,yes,no,Keyed,no,no,no,Magyar Tudományos Akadémia Könyvtára; Országos Széchényi Könyvtár,Hungary,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D192-3
276,Early Modern,16th-17th,Rimay János ifjúkori versgyűjteménye,http://www.tankonyvtar.hu/hu/tartalom/tkt/rimay-janos-ifjukori/,yes,yes,yes,HUN,Manuscript; Print,2007,not provided,Tóth Tünde,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,yes,no,no,Open Access and Open Source (some data),no,no,no,no,yes,no,Keyed,yes,yes,no,Magyar Tudományos Akadémia Könyvtára; Országos Széchényi Könyvtár,Hungary,Hungarian Government,not provided,TEI XML; HTML; DocBook XML; DOCX,no,no,no,not provided,21.11115/0000-000B-D193-2
277,Early Modern,1588,Effectus amoris,http://magyar-irodalom.elte.hu/effectus/,yes,yes,yes,HUN; LAT,Print,1998,1999,Szegedi Béla,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,yes,yes,no,Keyed,no,no,no,Magyar Tudományos Akadémia Könyvtára; Országos Széchényi Könyvtár,Hungary,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D194-1
278,Middle Ages; Early Modern,1526-1527,Érdy-kódex,http://sermones.elte.hu/erdy/,yes,yes,yes,HUN; LAT,Manuscript,not provided,not provided,Bárczi Ildikó,Eötvös Loránd Tudományegyetem,Scholars,partly,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,yes,no,no,no,no,no,no,Keyed,no,no,no,Országos Széchényi Könyvtár,Hungary,Hungarian Government,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D195-0
279,Middle Ages; Early Modern,15th-16th,Régi Magyar Exemplumadatbázis/ Database of Old Hungarian Exempla,http://sermones.elte.hu/exemplumadatbazis/,yes,yes,yes,HUN; LAT,Manuscript; Print,2012,present,Bartók Zsófia Ágnes,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,0.5; 1,no,no,no,no,no,no,no,HUN,no,yes,yes,yes,no,yes,no,no,no,yes,yes,yes,Keyed,no,no,no,Országos Széchényi Könyvtár; ELTE Egyetemi Könyvtár,Hungary,not provided,not provided,MySQL; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D196-F
280,Long Nineteenth Century,1767-1831,Kazinczy Ferenc összes művei,http://deba.unideb.hu/deba/kazinczy_muvei/,yes,yes,yes,HUN; LAT; DEU,Manuscript; Print,2010,present,Bodrogi Ferenc Máté; Orbán László,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars; students; general public,yes,yes,yes,yes,no,partly,yes,no,no,no,HUN; ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,yes,no,yes,not provided,Hungary,Hungarian Government,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D197-E
281,Long Nineteenth Century,1792-1805,Csokonai Vitéz Mihály összes művei,http://deba.unideb.hu/deba/csokonai_muvei/,yes,yes,yes,HUN; LAT; DEU,Manuscript; Print,2014,present,Tóth Barna,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars; students; general public,yes,yes,yes,yes,no,partly,yes,no,no,no,HUN; ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,partly,yes,Keyed,yes,no,yes,not provided,Hungary,Hungarian Government,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D198-D
282,Long Nineteenth Century,1778-1784,Opera Aesthetica Szerdahelyana / Szerdahely György Alajos esztétikai írásai,http://deba.unideb.hu/deba/szerdahely/,yes,yes,yes,LAT,Print,2013,not provided,Debreczeni Attila,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars,yes,yes,yes,yes,no,no,no,no,no,partly,HUN,no,no,no,no,no,yes,no,no,no,yes,partly,no,Keyed,no,no,yes,not provided,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D199-C
283,Long Nineteenth Century,1790-1818,Gyöngyössi János művei,http://deba.unideb.hu/deba/gyongyossi/,yes,yes,yes,HUN,Manuscript; Print,2013,not provided,Debreczeni Attila,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,HUN,no,no,no,no,no,yes,no,no,no,yes,partly,no,Keyed,no,no,no,Biblioteca Centrală Universitară Lucian Blaga Cluj-Napoca,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D19A-B
284,Long Nineteenth Century,1795-1835,Berzsenyi Dániel levelezése,http://deba.unideb.hu/deba/berzsenyi/,yes,yes,yes,HUN,Manuscript,2017,2018,Tóth Barna,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,HUN; ENG,yes,yes,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,yes,no,no,not provided,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D19B-A
285,Long Nineteenth Century,1736-1833,Magyar írók levelezése,http://deba.unideb.hu/deba/levelezes/,yes,yes,yes,HUN; LAT; DEU,Manuscript,2016,2018,Orbán László,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,HUN; ENG,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,yes,no,partly,not provided,Hungary,Hungarian Government,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D19C-9
286,Long Nineteenth Century,1736-1831,A Ráday-család levelezése,http://deba.unideb.hu/deba/raday/,yes,yes,yes,HUN,Manuscript,2016,2018,Veisz Bettina,Debreceni Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars,yes,yes,yes,yes,no,yes,yes,no,no,no,HUN; ENG,no,yes,yes,yes,no,yes,no,no,no,yes,yes,no,Keyed,yes,no,no,Ráday Gyűjtemény,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D19D-8
287,Middle Ages,1510,"Margit-legenda (Szent Margit élete, 1510)",http://deba.unideb.hu/deba/Margit-legenda_Szent_Margit_elete_1510/index.html,yes,yes,yes,HUN; LAT,Manuscript,2011,present,M. Nagy Ilona; Boda István Károly; Porkoláb Judit; Varga Teréz,Debreceni Egyetem,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,HUN,no,no,no,no,no,yes,no,no,no,no,no,no,Keyed,no,no,no,Országos Széchényi Könyvtár,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D19E-7
288,Long Nineteenth Century,1790,Orpheus,http://deba.unideb.hu/deba/orpheus/,yes,yes,yes,HUN,Print,2012,not provided,Debreczeni Attila,Debreceni Egyetem,Scholars; students,yes,partly,partly,yes,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D19F-6
289,Long Nineteenth Century,1788-1793,Magyar Museum,http://deba.unideb.hu/deba/magyar_museum/,yes,yes,yes,HUN,Print,2011,not provided,Debreczeni Attila,Debreceni Egyetem,Scholars; students,yes,partly,partly,yes,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,yes,no,no,no,yes,no,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; PHP; HTML,yes,no,no,not provided,21.11115/0000-000B-D1A0-3
290,Long Nineteenth Century; Modern,1910-1932,DER STURM. Digitale Quellenedition zur Geschichte der internationalen Avantgarde,https://sturm-edition.de,yes,yes,yes,GER,Letter; Newspaper; Book; Catalogue,2018,present,Torsten Schrade; Marjam Trautmann,Akademie der Wissenschaften und der Literatur Mainz,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,yes,no,no,GER,no,yes,no,no,yes,Open Access and Open Source (all data),yes,yes,no,no,yes,yes,Keyed,yes,yes,no,Staatsbibliothek Berlin Preußischer Kulturbesitz; Heidelberg University Library; Princeton University,unknown,not provided,not provided,eXist; XQuery; XSLT; XPath; PHP; JavaScript; CSS,yes,no,no,yes,21.11115/0000-000B-D1A1-2
291,Early Modern,16/17,Balassi Bálint összes verse (hálózati kritikai kiadás: version 1.0 and 2.0),http://magyar-irodalom.elte.hu/gepesk/bbom/itart.htm,yes,yes,yes,HUN; LAT; TUR,Manuscript; Print,1998,2003,Horváth Iván; Tóth Tünde; Vadai István,Eötvös Loránd Tudományegyetem,Scholars; students,yes,yes,yes,no,no,yes,yes,no,no,HUN,HUN,yes,yes,no,no,no,Open Access and Open Source (all data),no,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D1A2-1
292,Early Modern,16/17,Lelki énekekről régi magyarok,http://magyar-irodalom.elte.hu/gepesk/eloszo/,yes,yes,yes,HUN,Manuscript; Print,1999,not provided,H. Hubert Gabriella,Eötvös Loránd Tudományegyetem,Scholars,yes,yes,yes,no,no,yes,yes,no,no,no,HUN,yes,yes,no,no,no,Open Access and Open Source (some data),no,no,no,no,no,no,Keyed,no,no,yes,not provided,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D1A3-0
293,Modern,1922-1957,"Szabó Lőrinc: Föld, erdő, isten; Kalibán; Fény, fény, fény; A sátán műremekei; Te meg a világ; Különbéke; Harc az ünnepért; Régen és most",http://krk.szabolorinc.hu/dokumentumok.htm,yes,yes,yes,HUN,Manuscript; Print,2011,not provided,Kabdebó Lóránt,Miskolci Egyetem; Magyar Tudományos Akadémia Könyvtára,Scholars; students; general public,yes,yes,yes,no,no,partly,yes,no,no,no,HUN,no,no,no,no,no,yes,no,no,no,no,no,yes,Keyed,no,no,no,not provided,Hungary,not provided,not provided,HTML,yes,no,no,not provided,21.11115/0000-000B-D1A4-F
294,Modern,1915-1916,A Tett folyóirat (The Journal „A Tett”),http://digiphil.hu/context:atett,yes,yes,yes,HUN,Print,2014,not provided,not provided,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,yes,yes,yes,no,yes,yes,no,no,no,HUN,no,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,no,no,no,not provided,21.11115/0000-000B-D1A5-E
295,Modern,1888,Mikszáth Kálmán összes művei 39,http://digiphil.hu/context:mkk39,yes,yes,yes,HUN,Manuscript; Print,2015,not provided,Labádi Gergely,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,partly,partly,yes,no,no,no,no,no,no,HUN,yes,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,yes,no,no,not provided,21.11115/0000-000B-D1A6-D
296,Modern,1871-1910,Mikszáth Kálmán összes művei 42,http://digiphil.hu/context:mkk42,yes,yes,yes,HUN,Print,2014,not provided,not provided,Petőfi Irodalmi Múzeum,Scholars; students; general public,yes,partly,partly,yes,no,no,no,no,no,no,HUN,yes,yes,yes,yes,no,yes,yes,no,no,yes,partly,no,Keyed,no,no,no,not provided,Hungary,not provided,not provided,XML; RDF; DSpace; Versioning Machine,yes,no,no,not provided,21.11115/0000-000B-D1A7-C
297,Early Modern,1540-1840,P.S. Post Scriptum: A Digital Archive of Ordinary Writing,http://ps.clul.ul.pt/,yes,yes,yes,PRT; SPA,Letter,2014,not provided,Rita Marquilhas,Universidade de Lisboa,not provided,yes,yes,yes,yes,yes,yes,yes,no,no,no,PRT; SPA; ENG,yes,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,no,partly,yes,Keyed,yes,yes,no,not provided,Portugal; Spain,European Research Council,not provided,TEITOK; TEI XML,yes,no,no,not provided,21.11115/0000-000B-D20E-9
298,Long Nineteenth Century,1780-1825,Jean Paul – Sämtliche Briefe digital,https://www.jeanpaul-edition.de/,yes,yes,yes,GER,Letter; Print,2017,2018,Norbert Miller; Markus Bernauer; Frederike Neuber,Berlin-Brandenburgische Akademie der Wissenschaften,Scholars,yes,partly,partly,yes,yes,no,no,no,no,no,GER,no,yes,yes,yes,yes,Open Access and Open Source (some data),yes,no,no,yes,yes,yes,Keyed,yes,no,no,not provided,not provided,Deutsche Forschungsgemeinschaft,not provided,exist-db,yes,no,yes,yes,21.11115/0000-000B-D254-9
299,Middle Ages,1180–1200,Armer Heinrich Digital,http://digi.ub.uni-heidelberg.de/ahd/,yes,yes,yes,GMH,Manuscript,2017,present,Victor Millet,Universidade de Santiago de Compostela; Heidelberg University Library,Scholars; students,yes,yes,yes,yes,yes,yes,yes,yes,no,GER,ENG,no,no,yes,yes,yes,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,no,no,no,Heidelberg University Library,Germany; Switzerland,Ministerio de Economía y Competitividad de España,not provided,not provided,yes,no,no,not provided,21.11115/0000-000B-D255-8
300,Early Modern,1607-1625,Deux visages de L'Astrée,https://astree.tufts.edu,yes,yes,yes,FRE,Book; Manuscript,2007,present,Eglal Henein,Tufts University,Scholars; students,yes,yes,yes,no,no,partly,yes,no,yes,no,FRE,yes,yes,yes,yes,no,Open Access and Open Source (all data),yes,no,no,yes,partly,yes,Keyed,yes,yes,no,Bibliothèque Nationale de France; Bibliothèque de la ville de Lyon; Bibliothèque de la ville de Marseille; Watkinson Library (Trinity college),"Paris, France",Tufts University,not provided,Dreamweaver,yes,no,no,yes,21.11115/0000-000B-D4F7-F
302,Long Nineteenth Century,1875-1914,travel!digital,https://traveldigital.acdh.oeaw.ac.at/,yes,yes,yes,GER,Printed book,2014,present,Ulrike Czeitschner,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),yes,yes,no,yes,yes,yes,OCR,yes,no,no,"Österreichische Akademie der Wissenschaften; Österreichische Nationalbibliothek; Staatliche Bibliothek Neuburg a. d. Donau, Universitätsbibliothek Basel",Germany,Austrian Academy of Sciences,not provided,ABBYY FineReader 8.0; Oxygen XML editor; TEI P5; tokenEditor; TreeTagger; STTS; SKOS; TopBraid Composer Free edition 5.1.1; corpus_shell,yes,no,no,yes,21.11115/0000-000B-D514-E
303,Long Nineteenth Century,1818-1822,"Mächtekongresse 1818–1822. Digitale Edition der Dokumente zu den Kongressen von Aachen (1818), Troppau (1820), Laibach (1821) und Verona (1822)",https://maechtekongresse.acdh.oeaw.ac.at/,yes,yes,yes,FRA; ENG; GER,Manuscript; printed additional sources,2015,present,Karin Schneider,Austrian Academy of Sciences,Scholars; students; general public,yes,yes,yes,yes,yes,no,no,no,no,no,GER,no,yes,yes,no,yes,Open Access and Open Source (all data),yes,yes,no,no,yes,yes,Keyed,yes,no,no,Austrian State Archives,Aachen; Opava; Ljubljana; Verona,Austrian Science Fund (FWF); Austrian Academy of Sciences,not provided,dse-static-cookicutter; XSLT; Bootstrap; Python,yes,no,no,no,21.11115/0000-000B-D515-D
304,Modern,1949-1954,Tagebücher von Andreas Okopenko. Digitale Edition,https://edition.onb.ac.at/okopenko,yes,yes,yes,GER,Diary,2015,2018,Roland Innerhofer,University of Vienna; Österreichische Nationalbibliothek,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,no,GER,no,yes,no,no,partly,Open Access and Open Source (some data),yes,no,no,yes,partly,yes,Keyed,yes,yes,no,Österreichische Nationalbibliothek,Österreichische Nationalbibliothek,Austrian Science Fund (FWF),not provided,GAMS; Fedora 3.x; Cirilo; XML; TEI; XSLT; CSS3; Bootstrap; Javascript,yes,https://ride.i-d-e.de/issues/issue-17/okopenko/,yes,not provided,21.11115/0000-000B-DCC5-F
305,Middle Ages,15th,Ulrich Richental die Chronik des Konzils von Konstanz,https://edition.mgh.de/001/,yes,yes,yes,GMH,Manuscript,not provided,2019,Thomas Martin Buck,Monumenta Germaniae Historica,Scholars,yes,partly,yes,yes,yes,no,no,no,no,no,GER,yes,yes,yes,no,yes,Open Access and Open Source (all data),no,no,no,yes,yes,yes,Keyed,no,yes,no,Kantonsbibliothek Frauenfeld; Ferdinandeum Innsbruck; Badische Landesbibliothek Karlsruhe; Rosgartenmuseum Konstanz; Stadtarchiv-Stadtbibliothek Lindau; New York Public Library; Národní Knihovna České Republiky; Stiftsbibliothek St. Gallen; Württembergische Landesbibliothek Stuttgart; Herzog August Bibliothek Wolfenbüttel; Österreichische Nationalbibliothek Wien; Stadtbibliothek Winterthur; Zentralbibliothek Zürich,"Constance, Southern Germany",DFG,not provided,Microsoft Word; Oxygen XML Editor; Python; TEI XML; XSLT; Django; ANT; HTML; PDF; LaTeX,yes,no,no,not provided,21.11115/0000-000C-4F6D-3
306,Modern,20th,Franco-Hungarian literary relations in the 20th century/Les relations littéraires entre la France et la Hongrie au XXe siècle,http://frhu20.iti.btk.mta.hu/,yes,yes,yes,FRA; ENG; HUN,Manuscript,2016,present,Újvári Tüskés Anna,MTA BTK Irodalomtudományi Intézet,General public,partly,yes,yes,no,no,no,no,no,no,no,ENG,no,yes,yes,yes,no,Open Access and Open Source (some data),no,no,no,yes,no,no,Keyed,no,no,no,Petőfi Irodalmi Múzeum; MTA KIK Kézirattár; MTA BTK Irodalomtudományi Intézet Archívum; Fejtő Ferenc Könyvtár (Fehérvárcsurgó); Országos Széchényi Könyvtár; Illyés Gyula írói hagyaték magángyűjteményben; Bajomi Lázár Endre írói hagyaték magángyűjteményben,Hungary,Hungarian Government,not provided,XML; Processwire; Bootstrap,yes,no,no,not provided,21.11115/0000-000C-4F6E-2
307,Long Nineteenth Century; Modern,1905-1931,Schnitzler Critical Digital Edition,https://www.arthur-schnitzler.de/edition/genetisch,yes,yes,yes,GER,Manuscript,2015,present,Andrew Webber,University of Cambridge; Bergische Universität Wuppertal,Scholars,yes,yes,yes,yes,no,yes,yes,yes,yes,no,GER,yes,yes,yes,yes,no,Open Access and Open Source (all data),no,no,no,no,yes,yes,OCR,yes,yes,no,Cambridge University Library,Cambridge University Library,MHRA,not provided,fud; Transcribo,yes,no,no,yes,21.11115/0000-000C-9149-E
308,Early Modern,1730-1788,Johann Georg Hamann: Kommentierte Briefausgabe,https://www.hamann-ausgabe.de,yes,yes,yes,GER,Manuscript,2015,present,Janina Reibold,Germanistisches Seminar Universität Heidelberg; Theodor Springmann Stiftung,Scholars,yes,yes,yes,yes,no,no,no,no,no,no,GER,yes,yes,yes,yes,no,Open Access and Open Source (some data),yes,no,no,yes,no,yes,OCR,no,yes,no,Various,Various,Theodor Springmann Stiftung,not provided,XML,yes,no,no,yes,21.11115/0000-000C-914A-D
309,Long Nineteenth Century,1804-1872,Grundtvigs Vaerker (The complete works of N.F.S. Grundtvig),http://grundtvigsvaerker.dk,yes,yes,yes,DAN,Book; Articles,2010,2030,Katrine Froekjaer Baunvig,Aarhus University,Scholars; students; general public,yes,no,yes,yes,partly,yes,yes,no,no,no,DAN,no,yes,yes,yes,no,yes,no,no,no,no,no,no,Keyed,no,no,no,Danish research libraries,Denmark,Danish Government,"200,000,000 Kr",not provided,yes,no,no,no,21.11115/0000-000C-D898-5
310,Long Nineteenth Century,1834-1861,Die Korrespondenz von Leo von Thun-Hohenstein,https://thun-korrespondenz.acdh.oeaw.ac.at/,yes,yes,yes,GER,Letter,2010,2019,Brigitte Mazohl; Christof Aichner; Peter Andorfer,Institut für Geschichtswissenschaften und Europäische Ethnologie (Universität Innsbruck); Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,partly,yes,yes,yes,yes,no,no,no,no,no,GER,yes,yes,yes,yes,yes,Open Access and Open Source (all data),no,yes,no,yes,yes,no,Keyed,yes,no,no,Various,Various,Austrian Science Fund (FWF); Austrian Academy of Sciences,not provided,eXist-DB; XSLT; Xquery; dsebaseapp,yes,no,no,not provided,21.11115/0000-000C-E131-E
311,Antiquity,700 BC-600 AD,Inscriptions of Greek Cyrenaica - Greek Verse Inscriptions of Cyrenaica,https://igcyr.unibo.it,yes,yes,yes,GRC,Bronze; ceramics; clay; lead; limestone; marble; pebbles; plaster; rock; sandstone; stone; terracotta; tufa; ware,2017,present,Catherine Dobias-Lalou,Università degli Studi di Bologna; King's College London; Université Paris-Sorbonne; Università di Macerata,Scholars; students; general public,yes,yes,yes,yes,yes,yes,yes,no,no,ENG; ITA; FRA; ARA,ENG; ITA; FRA,yes,yes,yes,yes,yes,Open Access and Open Source (all data),yes,no,no,yes,partly,yes,Keyed,yes,no,no,Cyrene Museum Shahat; Musée du Louvre Paris; Athens National Archaeological Museum; British Museum London; Cracow Archaeological Museum; Antiquarium Arborense di Oristano; Manchester Museum; Musée Archéologique Marseille,Ancient Cyrenaica,not provided,not provided,BaseX,yes,no,yes,yes,21.11115/0000-000D-22DE-3
312,Middle Ages,1177-1181,"Romualdus Beneventanus, Chronicon",http://www1.unipa.it/paolo.monella/romualdus/,yes,yes,yes,LAT,Codex,2016,2020,Paolo Monella,Università degli Studi di Palermo,Scholars,yes,yes,yes,yes,yes,no,no,no,no,no,ENG,no,no,no,no,yes,Open Access and Open Source (some data),no,no,no,no,yes,no,Keyed,yes,yes,no,not provided,"Salerno, Italy","ALIM (Archivio della Latinità Italiana del Medioevo), Università degli Studi di Palermo","€8,000",TEI XML; HTML; Python; SQLite,no,no,no,no,21.11115/0000-000D-F7DC-5
313,Long Nineteenth Century,1837-1842,Samuel Hahnemann - Digitale kritische Edition - Krankenjournal DF5,https://www.hahnemann-edition.de/index.html,yes,yes,yes,FRE; GER,Diary,2015,2020,Arnold Michalowski,Institut für Geschichte der Medizin der Robert Bosch Stiftung,General public; historians; physicians; homeopaths,yes,yes,yes,yes,yes,yes,yes,no,yes,no,GER,no,no,yes,no,yes,Open Access and Open Source (all data),no,no,no,no,yes,yes,Keyed,yes,no,no,Institut für Geschichte der Medizin der Robert Bosch Stiftung,"Paris, France",Institut für Geschichte der Medizin der Robert Bosch Stiftung,not provided,eXist-db; SADE; TextGrid,yes,no,no,no,21.11115/0000-000D-F7DD-4
314,Long Nineteenth Century; Modern,1889-1931,Arthur Schnitzler – Briefwechsel mit Autorinnen und Autoren,https://schnitzler-briefe.acdh.oeaw.ac.at,yes,yes,yes,GER,Letter,2018,2024,Martin Anton Müller,Austrian Centre for Digital Humanities and Cultural Heritage at the Austrian Academy of Sciences,Scholars; students; general public,partly,yes,yes,yes,yes,yes,yes,no,no,no,DEU,no,yes,yes,no,yes,Open Access and Open Source (some data),yes,yes,no,yes,partly,yes,Keyed,yes,no,yes,Cambridge University Library; Deutsches Literaturarchiv Marbach; Wienbibliothek; Beinecke Library,Vienna,FWF,"€400,000",Exist-db; dseBaseApp,yes,no,yes,no,21.11115/0000-000E-5589-8
315,Early Modern,1567-1602,Lazarraga eskuizkribua: edizioa eta azterketa,http://www.ehu.eus/monumenta/lazarraga/index.html,yes,yes,yes,BAQ; SPA,Manuscript,2010,present,Joseba A. Lakarra,Universidad del PaÍs Vasco,Scholars; students; general public,partly,partly,yes,no,no,yes,no,no,no,no,BAQ,no,no,no,no,yes,Open Access and Open Source (all data),no,no,no,no,partly,yes,Keyed,yes,yes,no,Koldo Mitxelena Kulturunea (The Gipuzkoa Provincial Council),Araba,Spanish Ministerio de Ciencia e Innovación; Spanish Ministerio de Economía y Competitividad; Eusko Jaurlaritza / Gobierno Vasco; Universidad del País Vasco / Euskal Herriko Unibertsitatea (UPV/EHU),not provided,HTML; CSS,yes,no,yes,no,21.11115/0000-000E-558A-7
